hour,lat,long,base,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M,UserGroup
54,40.7079,-73.9447,B02617,23555.0,32750.0,4062.0,4396.0,3395470.0,2842309.0,2309089.0,1834251.0,1408421.0,0
12,40.6751,-73.7603,B02617,26420.0,60208.0,2526.0,2562.0,1222074.0,1022225.0,801506.0,641274.0,502155.0,0
37,40.6857,-73.9805,B02598,68452.0,108214.0,2411.0,2458.0,2901782.0,2467890.0,2095706.0,1715636.0,1297651.0,1
52,40.633,-73.6061,B02617,51997.0,117500.0,3947.0,4052.0,445744.0,344085.0,298080.0,221170.0,187045.0,1
47,40.8434,-73.9118,B02682,30327.0,49602.0,1841.0,1775.0,2525722.0,2238418.0,1964254.0,1724169.0,1512081.0,0
54,40.9063,-73.7793,B02598,25161.0,56369.0,4786.0,4677.0,593137.0,496093.0,382061.0,293859.0,221297.0,0
36,40.7629,-73.8966,B02598,31114.0,60774.0,3576.0,3632.0,3023732.0,2288374.0,1718057.0,1321507.0,898105.0,0
58,40.926,-73.8356,B02598,35209.0,89390.0,3664.0,3433.0,1012760.0,854889.0,740533.0,593856.0,456695.0,1
47,40.6732,-73.5918,B02598,28462.0,73472.0,7005.0,7491.0,607133.0,506612.0,449911.0,387760.0,316905.0,1
42,40.6371,-73.96,B02617,40083.0,60362.0,3307.0,3229.0,2551885.0,2317802.0,2088183.0,1811233.0,1485972.0,0
56,40.8109,-73.9567,B02617,17760.0,23875.0,3766.0,3652.0,2769271.0,2392389.0,2109343.0,1788229.0,1447487.0,0
3,40.8347,-73.8608,B02617,35875.0,57679.0,5202.0,5155.0,2142813.0,1903216.0,1600818.0,1344361.0,1109149.0,0
26,40.6938,-73.7168,B02617,38341.0,108606.0,5780.0,5831.0,1062279.0,881604.0,752466.0,625183.0,506097.0,1
4,40.7326,-73.8107,B02682,16924.0,28220.0,8227.0,7504.0,1978715.0,1738628.0,1508712.0,1210145.0,901868.0,0
23,40.7415,-73.8579,B02617,14876.0,28686.0,3613.0,3442.0,2295881.0,1898092.0,1594668.0,1268403.0,978988.0,0
32,40.7218,-74.0098,B02617,85525.0,157652.0,5621.0,5632.0,2322002.0,1911430.0,1601357.0,1303297.0,1024371.0,1
16,40.8181,-73.9606,B02682,12906.0,19637.0,6469.0,6415.0,2651784.0,2350263.0,2053641.0,1714638.0,1383806.0,0
46,40.7544,-73.994,B02598,66038.0,105887.0,5012.0,5034.0,2636245.0,2280923.0,1956383.0,1632211.0,1347452.0,1
42,40.8162,-73.9352,B02598,24941.0,28119.0,7628.0,7199.0,2968781.0,2572979.0,2217841.0,1897151.0,1468802.0,0
19,40.7624,-73.8139,B02617,19067.0,31776.0,1985.0,1848.0,1664958.0,1367653.0,1126736.0,878892.0,634341.0,0
49,40.776,-73.4635,B02598,50215.0,126396.0,5455.0,5386.0,408848.0,305860.0,259845.0,223981.0,147538.0,1
19,40.7111,-73.4837,B02598,46150.0,119861.0,3888.0,3833.0,508924.0,441310.0,397817.0,328728.0,260753.0,1
16,40.6193,-73.9215,B02617,41571.0,101146.0,2234.0,1901.0,2130425.0,1798199.0,1493144.0,1196545.0,871691.0,1
4,40.7114,-73.7877,B02598,17693.0,49088.0,8189.0,8694.0,1746085.0,1540664.0,1279008.0,1015656.0,798120.0,0
51,40.8404,-73.8799,B02682,11300.0,24063.0,5794.0,6028.0,2284040.0,2045068.0,1840138.0,1686259.0,1456623.0,0
25,40.8069,-73.959,B02617,60489.0,69375.0,593.0,749.0,2818660.0,2385277.0,2047761.0,1768542.0,1390061.0,1
36,41.0508,-73.8029,B02598,26984.0,85694.0,4243.0,4229.0,259095.0,221657.0,199205.0,183981.0,159048.0,1
28,40.7408,-73.7175,B02617,36510.0,84096.0,8468.0,8310.0,1083857.0,881086.0,694871.0,536904.0,427375.0,1
15,40.6602,-73.9425,B02617,25797.0,41772.0,2117.0,2235.0,2936785.0,2616815.0,2271145.0,1923403.0,1500194.0,0
28,40.7441,-73.7762,B02598,37576.0,102364.0,3241.0,2975.0,1676138.0,1398231.0,1122348.0,840621.0,662339.0,1
22,40.6771,-73.8217,B02617,22405.0,52443.0,3085.0,3132.0,1774231.0,1399075.0,1102188.0,915109.0,704363.0,0
22,40.8563,-73.9351,B02617,54152.0,99038.0,3208.0,3191.0,2378639.0,2062659.0,1775065.0,1517356.0,1204647.0,1
48,40.8376,-73.9048,B02598,12868.0,19425.0,5511.0,5326.0,2600607.0,2298633.0,1975497.0,1757564.0,1513949.0,0
29,40.7256,-73.8983,B02617,31531.0,63672.0,1862.0,1959.0,3258477.0,2685499.0,2084705.0,1578958.0,1217356.0,0
19,40.6289,-74.0217,B02598,41932.0,74602.0,4035.0,3916.0,1831722.0,1577507.0,1310131.0,1029863.0,775142.0,1
26,40.7608,-73.999,B02617,84717.0,124964.0,3942.0,3954.0,2456100.0,2179648.0,1835855.0,1584923.0,1296430.0,1
0,40.6316,-73.935,B02598,36656.0,82353.0,2196.0,2159.0,2507249.0,2213412.0,1914165.0,1524790.0,1179420.0,1
24,40.759,-73.2095,B02512,41052.0,99750.0,2468.0,2401.0,310181.0,247811.0,234203.0,206535.0,163307.0,1
30,41.0693,-73.7043,B02617,68707.0,166064.0,6562.0,6648.0,229643.0,194605.0,147353.0,125243.0,99603.0,1
16,40.8855,-73.6291,B02598,41304.0,122083.0,3513.0,3589.0,102881.0,83003.0,76866.0,57014.0,57014.0,1
39,40.705,-73.8717,B02617,32633.0,63380.0,1578.0,1510.0,2746808.0,2342297.0,1926329.0,1587783.0,1222428.0,0
27,40.7899,-73.9425,B02617,22699.0,31079.0,7601.0,7477.0,3154979.0,2629725.0,2184846.0,1760102.0,1388861.0,0
27,40.7386,-73.8186,B02598,31846.0,68386.0,7281.0,7246.0,2086012.0,1810211.0,1550869.0,1283231.0,974612.0,1
49,40.7157,-74.0116,B02617,141635.0,250001.0,6863.0,6488.0,2438407.0,1973620.0,1614087.0,1338260.0,1002372.0,1
51,40.6513,-73.8841,B02598,15532.0,22641.0,5870.0,5913.0,2092843.0,1684981.0,1370674.0,988263.0,710053.0,0
51,40.6525,-73.9603,B02598,25896.0,47750.0,4112.0,4240.0,2807765.0,2531056.0,2276552.0,1894287.0,1479197.0,0
23,40.6873,-73.9061,B02598,20727.0,35369.0,3147.0,3158.0,3077124.0,2606863.0,2130978.0,1585543.0,1256531.0,0
42,40.7554,-73.8318,B02598,18223.0,26341.0,7147.0,8073.0,1901344.0,1569967.0,1286668.0,1083751.0,883195.0,0
22,40.8447,-73.9176,B02617,19329.0,31714.0,6337.0,6151.0,2563269.0,2234506.0,1972772.0,1750731.0,1467496.0,0
8,40.6731,-73.5024,B02617,53601.0,130370.0,4102.0,4027.0,454148.0,397997.0,304824.0,258748.0,193693.0,1
44,40.8064,-73.9157,B02617,11952.0,13216.0,4538.0,4684.0,3122146.0,2739270.0,2302552.0,1874754.0,1454345.0,0
25,40.5962,-73.9638,B02682,22476.0,42188.0,2546.0,2860.0,1604051.0,1426338.0,1250501.0,1052038.0,877407.0,0
32,40.8437,-73.8537,B02617,27070.0,43125.0,1536.0,1756.0,1995783.0,1754189.0,1523391.0,1263786.0,995469.0,0
14,40.9507,-73.8282,B02598,40701.0,70354.0,6656.0,6596.0,681355.0,564774.0,454208.0,370131.0,291486.0,1
50,40.9112,-73.7854,B02512,19688.0,31220.0,6500.0,6275.0,672719.0,556756.0,461944.0,361918.0,282039.0,0
31,40.9071,-73.7843,B02617,22344.0,44200.0,4713.0,4302.0,682673.0,552340.0,445571.0,345874.0,256324.0,0
22,40.7164,-73.8467,B02682,61020.0,107500.0,1902.0,2102.0,2407369.0,2066392.0,1773526.0,1481256.0,1140533.0,1
16,40.7397,-73.9248,B02598,39891.0,70066.0,3333.0,3777.0,3318039.0,2804623.0,2296926.0,1792635.0,1350130.0,1
13,40.8377,-73.9206,B02617,17896.0,23370.0,1118.0,1142.0,2621627.0,2282216.0,2005443.0,1768919.0,1492145.0,0
54,40.8069,-73.9648,B02617,41419.0,116131.0,5020.0,5188.0,2649124.0,2301727.0,2000643.0,1684750.0,1327327.0,1
13,40.6416,-73.9606,B02598,32756.0,48445.0,7947.0,7717.0,2644841.0,2442020.0,2170636.0,1876425.0,1488634.0,0
37,40.7608,-73.0696,B02617,47201.0,127540.0,5821.0,5917.0,190015.0,171823.0,139915.0,114282.0,100377.0,1
25,40.832,-73.9087,B02617,13261.0,28732.0,7919.0,8112.0,2738220.0,2403974.0,2045490.0,1768724.0,1519966.0,0
14,40.6163,-74.095,B02682,26699.0,69290.0,3127.0,3189.0,742343.0,576481.0,488753.0,387136.0,294234.0,1
10,40.6301,-74.109,B02617,34880.0,67865.0,4663.0,4886.0,634579.0,530564.0,417783.0,343699.0,301436.0,1
36,40.7577,-73.9155,B02682,32037.0,60577.0,2018.0,2029.0,3207460.0,2691402.0,2115345.0,1537098.0,1112860.0,0
46,40.8213,-72.9976,B02617,35702.0,89464.0,7988.0,7803.0,284254.0,238938.0,169228.0,144133.0,115782.0,1
50,40.6833,-73.8641,B02617,27883.0,71000.0,2561.0,2573.0,2445737.0,1992544.0,1588725.0,1252135.0,934318.0,1
58,40.7475,-73.8847,B02617,23339.0,49643.0,4836.0,5152.0,2763240.0,2157029.0,1556736.0,1221549.0,946324.0,0
0,40.8565,-73.1974,B02682,46698.0,121838.0,6281.0,6517.0,267817.0,223679.0,167018.0,134089.0,100508.0,1
31,40.7323,-73.9871,B02682,62654.0,89818.0,8667.0,9429.0,2957387.0,2543507.0,2055514.0,1596321.0,1187595.0,1
42,40.6722,-73.944,B02617,27298.0,51125.0,2809.0,2767.0,3004521.0,2615694.0,2251784.0,1898177.0,1494420.0,0
52,40.77,-73.9003,B02617,36000.0,67132.0,1607.0,1447.0,3104083.0,2568617.0,1979844.0,1408066.0,1065834.0,1
9,40.7177,-73.2404,B02512,33005.0,80992.0,8753.0,8350.0,290565.0,243165.0,205872.0,171064.0,147497.0,1
20,40.686,-73.8729,B02617,30021.0,46012.0,2970.0,2962.0,2633532.0,2255299.0,1778079.0,1370993.0,1037914.0,0
25,40.8107,-73.9207,B02512,15062.0,20137.0,5946.0,6208.0,3099391.0,2692132.0,2255980.0,1884832.0,1486754.0,0
13,40.6558,-73.9435,B02598,27933.0,45372.0,2680.0,2627.0,2846170.0,2590414.0,2254639.0,1869496.0,1473930.0,0
25,40.7338,-73.5742,B02682,42170.0,124667.0,5153.0,5053.0,592405.0,491279.0,403469.0,341332.0,241808.0,1
53,40.7467,-73.872,B02617,22859.0,44110.0,4362.0,4023.0,2603895.0,1921506.0,1530666.0,1259186.0,1000407.0,0
56,40.737,-73.8631,B02617,25100.0,48625.0,15051.0,14205.0,2415594.0,2026770.0,1666866.0,1332395.0,1063317.0,0
53,40.7758,-73.983,B02617,106628.0,155000.0,9724.0,9298.0,2722846.0,2369335.0,2024150.0,1669337.0,1383279.0,1
31,40.6412,-73.911,B02617,28721.0,54537.0,3743.0,3820.0,2527233.0,2090035.0,1690833.0,1316156.0,1014052.0,0
20,40.8772,-73.8505,B02598,27402.0,62577.0,8408.0,8096.0,1826798.0,1619716.0,1351529.0,1082442.0,842674.0,0
28,40.5995,-73.9963,B02598,23568.0,53137.0,5845.0,5445.0,1576694.0,1408085.0,1265211.0,1121153.0,946272.0,0
24,40.946,-73.8524,B02512,40134.0,65089.0,1754.0,1832.0,775653.0,610946.0,489594.0,412720.0,333209.0,1
0,40.7496,-73.8843,B02512,31044.0,60531.0,7824.0,7446.0,2845532.0,2152852.0,1614392.0,1223528.0,926249.0,0
29,40.7126,-73.6078,B02598,33377.0,86875.0,3224.0,3236.0,736901.0,636136.0,498978.0,399850.0,312852.0,1
17,40.6428,-73.9246,B02617,38555.0,58600.0,1883.0,1812.0,2668307.0,2360410.0,1939412.0,1535808.0,1165364.0,0
23,40.8641,-73.6192,B02598,27928.0,69952.0,3117.0,2849.0,124218.0,100453.0,90143.0,74970.0,56951.0,1
46,40.7692,-73.791,B02598,30983.0,74167.0,3557.0,3670.0,1357953.0,1097549.0,796715.0,572066.0,461835.0,1
46,40.7623,-73.6598,B02598,51275.0,154570.0,4572.0,4727.0,540347.0,435867.0,343865.0,268469.0,198208.0,1
10,40.6115,-73.9358,B02682,33750.0,77328.0,1788.0,1833.0,2022256.0,1788346.0,1501268.0,1233456.0,991890.0,1
48,40.592,-73.5816,B02617,64090.0,153462.0,4172.0,3832.0,263049.0,229673.0,176684.0,125088.0,85893.0,1
39,40.714,-73.7688,B02617,37944.0,88295.0,1521.0,1504.0,1591031.0,1343058.0,1152110.0,923395.0,718955.0,1
6,40.7907,-73.8456,B02598,33031.0,73796.0,5042.0,4913.0,2130595.0,1621217.0,1212971.0,877173.0,558694.0,1
30,40.7533,-73.9259,B02598,26250.0,60179.0,886.0,933.0,3228728.0,2751195.0,2348781.0,1817963.0,1233678.0,0
24,40.9287,-73.8674,B02598,36154.0,85625.0,4451.0,4322.0,1184883.0,988731.0,827970.0,621290.0,470181.0,1
19,40.7139,-73.9976,B02617,38214.0,59688.0,1417.0,1400.0,2782599.0,2183784.0,1735826.0,1385854.0,1116906.0,0
56,40.6931,-73.9945,B02617,86063.0,106667.0,2756.0,2618.0,2845584.0,2383699.0,1913576.0,1495675.0,1129553.0,1
6,40.636,-73.9403,B02617,29054.0,83478.0,2551.0,2513.0,2556811.0,2294713.0,1998869.0,1655824.0,1249925.0,1
29,40.6695,-73.7501,B02598,36800.0,87417.0,3100.0,3035.0,1166447.0,943304.0,774831.0,599924.0,452862.0,1
8,40.8345,-73.8723,B02598,17989.0,31782.0,3309.0,3266.0,2321667.0,2055906.0,1821367.0,1578836.0,1229585.0,0
37,40.637,-74.0074,B02598,16974.0,42697.0,5677.0,5904.0,2110815.0,1822836.0,1508431.0,1206863.0,934288.0,0
32,40.7404,-73.9982,B02682,79781.0,125625.0,8045.0,8170.0,2682549.0,2273859.0,1930281.0,1553361.0,1207153.0,1
30,40.8213,-73.9178,B02598,17570.0,27950.0,8351.0,8672.0,2901281.0,2543074.0,2204523.0,1845037.0,1460292.0,0
14,40.6343,-73.9442,B02512,34103.0,82174.0,2612.0,2661.0,2545821.0,2320261.0,2033140.0,1704453.0,1318794.0,1
